state,county,pop_2020,pop_2021,pop_2022,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,pov_2021,Percent Caucasian,Percent African American,Percent Indian,Percent Asian,Percent Pacific,avg_house_size,pop_density
Oklahoma,Murray,13877,13712,13672,1366,3955,2508,1690,14.4,41.5,26.3,17.8,1804.0,71.84571941984342,2.214093184443589,21.01784109870363,0.5840071877807728,0.3016300859966628,2.52,12.8676675042311
Oklahoma,Muskogee,66241,66255,66354,6080,15431,13959,8869,13.7,34.8,31.5,20.0,12054.0,57.731362889983586,11.460098522167488,25.32151067323481,1.0233169129720854,0.1523809523809524,2.5,32.9148200904206
Oklahoma,Noble,10922,10942,10896,777,2658,2413,1589,10.4,35.7,32.4,21.4,1271.0,79.69812572565931,2.363576049096036,14.587825510034833,0.6468734450157572,0.24050422955714051,2.42,6.01980397654967
Oklahoma,Nowata,9322,9387,9483,717,2705,2110,1054,10.9,41.1,32.0,16.0,1429.0,67.53434562545192,3.000723065798988,27.304772234273315,0.4067245119305857,0.14461315979754158,2.5,7.0856383489941
Oklahoma,Okfuskee,11271,11196,11134,1444,3151,2484,845,18.2,39.8,31.3,10.7,2755.0,61.60394621688281,7.438937067388018,28.442994669424777,0.41371628610072403,0.09547298910016708,2.71,7.56201317538887
Oklahoma,Oklahoma,798200,799622,802559,59864,127327,155471,174202,11.6,24.6,30.1,33.7,127511.0,58.50817597862651,16.00973005383052,7.78007521283115,4.096365888820799,0.2937312353685473,2.56,425.989527659625
Oklahoma,Okmulgee,36686,36827,36990,3299,8575,9002,3715,13.4,34.9,36.6,15.1,6422.0,62.87396600634103,9.373286609931107,24.234189134425137,0.7652149038117715,0.159717752508999,2.55,21.5317510642819
Oklahoma,Osage,45778,45868,45839,3483,11954,10984,6197,10.7,36.6,33.7,19.0,5441.0,64.07883296299875,10.943870157472709,21.472321514829485,0.612501207612791,0.17003188097768332,2.53,8.13107475785822
Oklahoma,Ottawa,30229,30400,30338,2726,7003,7090,3073,13.7,35.2,35.6,15.4,6023.0,67.64646083243777,1.7659531209155075,25.437857620029625,0.8365041099073456,0.8074588283133405,2.55,25.885068751447
Oklahoma,Pawnee,15552,15761,15757,1209,4553,3155,1872,11.2,42.2,29.2,17.4,2312.0,76.99808462476058,1.5381043589297114,18.90997736374717,0.6616750827093854,0.09286667827500145,2.61,11.1639086398451
Oklahoma,Payne,81645,82149,82794,3521,12141,11796,17013,7.9,27.3,26.5,38.3,15373.0,76.13291401865077,5.149708445259779,10.329991919456639,3.940902836925899,0.22822075170892572,2.41,45.963847540365
Oklahoma,Pittsburg,43784,43695,43613,3984,11470,9512,5727,13.0,37.4,31.0,18.7,7506.0,69.31642623542866,4.084990269055597,22.431331634598024,0.9510242571376979,0.14646576112036275,2.37,13.1263984740627
Oklahoma,Pontotoc,38087,38195,38141,2616,7932,6913,7245,10.6,32.1,28.0,29.3,6374.0,64.47368421052632,4.3557168784029034,26.51769509981851,1.3452813067150635,0.0998185117967332,2.57,20.5575299337275
Oklahoma,Pottawatomie,72542,73092,73533,5457,16689,16148,9809,11.3,34.7,33.6,20.4,10079.0,71.80599997548029,4.547182071180747,18.999105030220555,1.1512008532862554,0.18880184388294285,2.65,35.2930702040968
Oklahoma,Pushmataha,10796,10789,10769,1124,3433,2032,1172,14.5,44.2,26.2,15.1,1950.0,71.76343907893647,1.7145697009856704,23.35790607139899,0.6792015240619564,0.1242441812308457,2.47,3.07561437382478
Oklahoma,Roger Mills,3428,3361,3320,207,829,866,475,8.7,34.9,36.4,20.0,505.0,85.50570745951686,1.0618529333687283,8.043535970268117,0.7167507300238917,0.15927794000530926,2.73,1.25460298457017
Oklahoma,Rogers,95387,96796,98836,5242,21200,21830,16125,8.1,32.9,33.9,25.0,9248.0,70.50741494620529,2.1799578365804013,21.38430503053213,2.064553649316662,0.1699258505379471,2.6,51.8982591497207
Oklahoma,Seminole,23515,23498,23351,2518,5564,5431,2245,16.0,35.3,34.5,14.2,4623.0,63.97859452227878,6.246980564123527,25.913263220483852,0.6280426623062916,0.12263554944442381,2.65,15.2961410887208
Oklahoma,Sequoyah,39246,39442,39667,4699,10609,7773,3836,17.5,39.4,28.9,14.3,7656.0,62.700137490575244,2.7010245265445514,31.18818468088881,0.9912626957023107,0.08205082716104138,2.67,23.7180228032718
