state,county,pop_2020,pop_2021,pop_2022,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,pov_2021,Percent Caucasian,Percent African American,Percent Indian,Percent Asian,Percent Pacific,avg_house_size,pop_density,cases_2022,cases_percentage_2022,cases_2021,cases_percentage_2021,cases_2020,cases_percentage_2020,pov_percentage
Iowa,Cedar,18491,18444,18399,584,5086,4601,2861,4.4,38.7,35.0,21.8,1323.0,94.28259286234524,0.9624388721256892,1.4722713557382168,0.75434398085527,0.0884403287899282,2.4,12.290122078339,4201.0,22.83276265014403,1913.0,10.371936673172847,807.0,4.364285327997404,7.173064411190631
Georgia,Montgomery,8574,8654,8655,1100,2161,1479,1024,19.1,37.5,25.7,17.8,1647.0,67.92748433303491,24.888093106535365,1.4100268576544317,0.6490599820948971,0.1342882721575649,2.71,14.4677144370338,2082.0,24.055459272097053,898.0,10.376704414143749,411.0,4.793561931420574,19.031661659348277
North Carolina,Wilkes,65904,65818,65784,9024,15451,15429,8027,18.8,32.2,32.2,16.7,11106.0,86.76877198569754,4.901634360659535,1.8442652615121815,0.7006470852212684,0.0665904254549139,2.38,35.0313463388409,17625.0,26.79222911346224,6832.0,10.38013917165517,2198.0,3.3351541636319495,16.87380351879425
Missouri,Macon,15197,15167,15049,1010,4756,2830,1855,9.7,45.5,27.1,17.7,2042.0,91.19731443491234,3.1828919557379085,2.3560860375481782,0.9635708069128436,0.0497326868084048,2.54,7.35090717451952,3652.0,24.267393182271245,1575.0,10.384387156326234,399.0,2.62551819438047,13.463440363948045
Oklahoma,Osage,45778,45868,45839,3483,11954,10984,6197,10.7,36.6,33.7,19.0,5441.0,64.07883296299875,10.943870157472707,21.472321514829485,0.612501207612791,0.1700318809776833,2.53,8.13107475785822,10965.0,23.920678897881718,4766.0,10.390686317258218,1624.0,3.5475555943903183,11.862300514519927
Kansas,Barton,25419,25239,25080,1976,5358,6448,3634,11.3,30.8,37.0,20.9,3482.0,83.76450896918095,2.0412618709747843,2.721682494633046,0.5239602663464688,0.0473019684896117,2.42,11.5542921973368,6508.0,25.948963317384372,2623.0,10.392646301359008,1205.0,4.740548408670679,13.796109196085423
Minnesota,Isanti,41385,41951,42727,2256,9667,10868,5277,8.0,34.4,38.7,18.8,3516.0,92.14953704778038,1.4642749402455155,2.0513772538463324,1.6847283781588656,0.1021047501914464,2.61,34.5338418775747,10263.0,24.019940552812038,4360.0,10.393077638196944,1129.0,2.7280415609520356,8.381206645848728
Georgia,Rabun,16914,17088,17206,1825,3870,3700,3320,14.4,30.4,29.1,26.1,2109.0,89.2716480834304,1.164919287735064,2.784711821157153,0.6101958173850336,0.0721140511455039,2.44,17.1666898234954,3691.0,21.45181913286063,1776.0,10.393258426966293,487.0,2.879271609317725,12.341994382022472
Virginia,Winchester city,28009,28115,27936,2396,4992,5097,6345,12.7,26.5,27.1,33.7,3388.0,67.078779970641,11.74033599739031,2.4661556026749305,2.945685858750612,0.1533191975207959,2.54,1167.13965733831,6440.0,23.052691867124857,2923.0,10.396585452605372,745.0,2.6598593309293443,12.050506846878891
Arkansas,Polk,19187,19331,19337,1569,5178,4748,2112,11.5,38.1,34.9,15.5,3697.0,86.35321100917432,0.845756880733945,6.32645259938838,0.7071865443425076,0.1576834862385321,2.44,9.07677870323286,4146.0,21.4407612349382,2010.0,10.397806631834877,539.0,2.8091937249179133,19.124721949200765
