state,county,pop_2020,pop_2021,pop_2022,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,pov_2021,Percent Caucasian,Percent African American,Percent Indian,Percent Asian,Percent Pacific,avg_house_size,pop_density,cases_2022,cases_percentage_2022,cases_2021,cases_percentage_2021,cases_2020,cases_percentage_2020,pov_percentage
New Hampshire,Coos,31227,31411,31504,2634,9530,7299,4860,10.8,39.2,30.0,20.0,3650.0,92.5325668154853,2.1130206103602225,2.339306464436426,1.048865512812672,0.0825637575683444,2.16,6.89299389344942,7140.0,22.663788725241236,2039.0,6.491356531151507,219.0,0.7013161687001633,11.620133074400687
Texas,Polk,50494,51816,53255,6999,13350,10670,4661,19.6,37.4,29.9,13.1,8117.0,73.91731553578049,10.051909529106414,3.676307007786429,0.9084167593622544,0.1353355580274379,2.48,17.4732169931259,7896.0,14.826776828466812,3365.0,6.494133086305388,1416.0,2.8042935794351806,15.665045545777367
Virginia,Lunenburg,11947,11997,12031,1764,3413,2502,1023,20.3,39.2,28.8,11.8,2045.0,60.802983416646825,32.15107514083948,1.7852892168531302,0.6665079742918353,0.2777116559549313,2.61,10.9811511911602,2460.0,20.447178123181782,780.0,6.501625406351589,159.0,1.3308780446974136,17.045928148703844
Missouri,Pulaski,54017,53850,53941,1667,8972,10610,8714,5.6,29.9,35.4,29.1,5522.0,72.60851243152128,12.95575221238938,3.010535187526338,4.6961651917404135,1.126000842815002,2.88,37.1139976200309,8918.0,16.53287851541499,3509.0,6.516248839368617,1249.0,2.3122350371179445,10.254410399257194
Virginia,Loudoun,422669,428435,432085,15832,30890,52054,168028,5.9,11.6,19.5,63.0,15315.0,57.08513942455375,8.119944366701935,1.4648537492747191,21.777620396600568,0.2152377214239394,3.06,288.317756013779,71890.0,16.637930036914035,27923.0,6.517441385507721,8642.0,2.0446259366076056,3.574637926406573
New York,Columbia,61403,62039,61286,4131,13856,12653,16415,8.8,29.4,26.9,34.9,6333.0,84.01215989352531,5.464389963550568,1.9918631558251032,2.796473025907833,0.1890530709780849,2.31,37.0605209147466,10772.0,17.576608034461376,4045.0,6.520092200067699,870.0,1.4168688826278846,10.208094908041716
Wisconsin,Vernon,30698,30921,31060,1971,7636,6141,4841,9.6,37.1,29.8,23.5,4489.0,95.37382291600836,0.8152689123427922,1.052265689186627,0.6604310181381533,0.0916387537129495,2.49,14.8848680188809,6239.0,20.08692852543464,2019.0,6.529543029009412,791.0,2.5767150954459574,14.51764173215614
Texas,Rains,12178,12449,12823,1218,3255,2773,1682,13.6,36.5,31.1,18.8,1594.0,86.04133056771913,2.765614196819544,3.3187370361834523,0.7912729507567027,0.1305984481831451,2.63,19.3056959935703,1839.0,14.341417764953599,813.0,6.530645031729457,244.0,2.003613072754147,12.804241304522451
Idaho,Lemhi,7958,8136,8240,607,1802,2314,1325,10.0,29.8,38.3,21.9,974.0,92.577984940839,0.5617306083422972,2.9759770527070635,0.6334408987689734,0.1792757260666905,2.14,0.659734273004483,1261.0,15.303398058252426,532.0,6.538839724680432,383.0,4.812767026891178,11.971484759095379
Missouri,Scotland,4699,4679,4643,614,1223,712,436,20.6,41.0,23.9,14.6,653.0,96.07319078947368,0.8429276315789473,1.3980263157894737,0.575657894736842,0.287828947368421,2.64,4.33241085119999,680.0,14.645703209132027,306.0,6.53985894421885,120.0,2.553734837199404,13.955973498610813
Virginia,Arlington,238799,233574,234000,8860,12874,19373,132370,5.1,7.4,11.2,76.3,18150.0,63.60079894275245,9.348531266894936,1.6207875292845555,12.857421757674055,0.2023637892713402,2.18,3442.63585463294,46198.0,19.742735042735042,15292.0,6.546961562502676,5191.0,2.173794697632737,7.770556654422153
Texas,Kimble,4291,4350,4422,460,924,925,903,14.3,28.8,28.8,28.1,679.0,82.33666737603745,0.7874015748031495,2.638859331772718,1.276867418599702,0.4043413492232389,2.24,1.3604787191283,714.0,16.14654002713704,285.0,6.551724137931035,46.0,1.072011186203682,15.60919540229885
New York,Ontario,112327,112660,112707,5358,20288,24085,29828,6.7,25.5,30.3,37.5,8524.0,88.04636177245911,3.577555546257165,1.6444202686304863,1.766601113017281,0.1297125402736516,2.39,65.6280504128795,21586.0,19.152315295412,7385.0,6.555121604828688,912.0,0.8119152118368691,7.56612817326469
Louisiana,Vernon,48625,48056,47247,3599,11896,8967,5576,12.0,39.6,29.9,18.6,7909.0,73.01085586348329,14.31958006434498,3.388459295215518,2.959492765893398,0.9689375552670692,2.74,14.8306747263427,9939.0,21.03625627023938,3157.0,6.569419011153654,1232.0,2.5336760925449875,16.45788247045114
Colorado,Kiowa,1452,1446,1424,27,252,463,189,2.9,27.1,49.7,20.3,180.0,87.14909544603869,2.121023081721772,3.930131004366813,1.6843418590143482,0.8733624454148471,2.39,0.316472036724453,336.0,23.595505617977526,95.0,6.569847856154911,13.0,0.8953168044077136,12.448132780082988
Virginia,Lancaster,10897,10896,10750,877,2699,2215,2897,10.1,31.1,25.5,33.3,1291.0,68.84564352056613,27.0234409553295,1.2826183104820876,1.0968597965501992,0.1946041574524546,2.08,31.2942736018195,1846.0,17.17209302325581,716.0,6.571218795888399,212.0,1.9454895842892541,11.848384728340676
Michigan,Montmorency,9164,9302,9569,864,2974,2388,1042,11.9,40.9,32.9,14.3,1555.0,93.8192846684794,0.836645053336122,2.656348044342188,0.5856515373352855,0.0941225685003137,2.17,6.54080377104677,1750.0,18.2882223847842,612.0,6.579230273059557,77.0,0.840244434744653,16.716835089228123
Oregon,Marion,346339,347775,346703,32694,58589,80981,55923,14.3,25.7,35.5,24.5,44959.0,70.11482791154339,1.9851345028342624,4.324647730672169,3.0774187115035017,1.3663779988596472,2.78,109.743370987885,70744.0,20.40478449854775,22895.0,6.58327941916469,7266.0,2.0979444994643974,12.927611242901301
Texas,Goliad,7021,7146,7131,826,1459,1869,921,16.3,28.7,36.8,18.1,1045.0,75.6886967263743,4.311303273625695,1.8529956763434217,0.7411982705373688,0.1235330450895614,2.77,3.41279048081621,1216.0,17.0523068293367,471.0,6.591099916036944,172.0,2.449793476712719,14.623565631122307
Washington,Asotin,22325,22468,22508,1364,4527,6405,3816,8.5,28.1,39.8,23.7,3080.0,89.23199396656472,1.277915112917417,3.963631792852055,1.6424351615200905,0.4357481040767587,2.41,13.5585798878058,4554.0,20.23280611338191,1481.0,6.591596937867189,470.0,2.1052631578947367,13.708385259035072
Montana,Lake,31246,32075,32853,1644,5412,7400,6975,7.7,25.3,34.5,32.5,5450.0,68.68883970177073,0.7484855545200373,27.024114631873253,0.8504193849021435,0.2417287977632805,2.46,7.71289006857083,6634.0,20.19298085410769,2117.0,6.600155884645363,770.0,2.464315432375344,16.99142634450507
California,Yolo,216291,213039,222115,15832,22654,34203,54999,12.4,17.7,26.8,43.1,30708.0,55.0375072585137,3.704113355270175,3.390071538330878,14.79946751148524,0.931064858523174,2.81,81.7980055842152,41061.0,18.4863696733674,14064.0,6.60160815625308,3720.0,1.7199051278139175,14.414262177347808
Virginia,Craig,4878,4876,4847,400,1324,1063,729,11.4,37.7,30.2,20.7,557.0,94.5945945945946,0.6854680767724246,2.448100274187231,0.7833920877399139,0.1566784175479827,2.25,6.01691898307908,1128.0,23.272127088920982,322.0,6.60377358490566,66.0,1.3530135301353015,11.423297785069728
Montana,Garfield,1170,1210,1218,16,279,231,144,2.4,41.6,34.5,21.5,179.0,94.65020576131688,0.411522633744856,2.7983539094650207,0.4938271604938271,0.2469135802469135,2.55,0.0942022809095075,225.0,18.472906403940886,80.0,6.6115702479338845,43.0,3.6752136752136755,14.793388429752067
North Carolina,Buncombe,269694,271719,273589,16059,45409,52487,83474,8.1,23.0,26.6,42.3,30954.0,81.90675594436037,6.601505006322685,2.3722161183551345,1.8532722485955344,0.2570534215054209,2.31,149.662506090872,54155.0,19.794289975108647,17965.0,6.6116097880531,4690.0,1.739007912671398,11.391915913130845
Texas,Bandera,20992,21551,22115,1478,4574,5492,4378,9.3,28.7,34.5,27.5,2445.0,83.34610472541507,1.1494252873563218,2.9289059174116643,0.9323116219667944,0.2681992337164751,2.58,10.6230058571431,3636.0,16.4413294144246,1427.0,6.621502482483412,205.0,0.9765625,11.345181198088255
Colorado,San Juan,710,740,803,19,166,136,234,3.4,29.9,24.5,42.2,101.0,84.03990024937656,1.1221945137157108,3.99002493765586,2.119700748129676,0.997506234413965,2.05,0.542015887968249,203.0,25.280199252801992,49.0,6.621621621621622,13.0,1.8309859154929577,13.648648648648647
Indiana,Brown,15482,15573,15570,822,4054,3690,3280,6.9,34.2,31.1,27.7,1670.0,94.20631474474288,0.7567768748836922,2.437814031387631,0.6016996464239192,0.0558278022455182,2.44,18.6054257465812,2608.0,16.750160565189468,1032.0,6.626854170680023,234.0,1.511432631442966,10.723688435112052
Texas,Gaines,21699,21881,22181,4378,3707,2081,1222,38.4,32.6,18.3,10.7,3009.0,74.15350773823552,1.3983816482048863,1.3158928431141488,0.5459973289339304,0.1296252651425878,3.52,5.22242361946982,2215.0,9.986024074658491,1452.0,6.6358941547461265,752.0,3.4655974929720266,13.751656688451167
Virginia,Clarke,14813,14916,15266,895,3104,2969,3787,8.3,28.9,27.6,35.2,1059.0,84.83531708545878,4.817683733232571,2.2923357894073937,2.160085647710813,0.1952263996473329,2.51,31.5254117247301,2679.0,17.54880125769684,991.0,6.643872351836953,149.0,1.0058732194693851,7.099758648431215
Utah,Duchesne,19617,19806,20161,1186,4669,4051,1683,10.2,40.3,35.0,14.5,2555.0,87.04461328657706,0.4091174751607247,6.667640755893239,0.7305669199298656,0.3993765828949931,2.99,2.41291167969328,4397.0,21.809434055850403,1316.0,6.644451176411188,297.0,1.5139929652852118,12.900131273351509
Pennsylvania,Pike,58560,59965,60558,3018,14903,14044,11693,6.9,34.1,32.2,26.8,5210.0,81.13779946206292,6.502158003377745,1.9437668105335584,1.9953712391317944,0.1469944329767936,2.52,39.3200923627255,10557.0,17.43287426929555,3992.0,6.657216709747353,712.0,1.2158469945355193,8.688401567581089
Ohio,Meigs,22149,22085,21969,2355,7248,4269,1965,14.9,45.8,27.0,12.4,4603.0,95.597868809503,1.209712638658398,1.7774478120359858,0.2445628439164992,0.0611407109791248,2.49,20.7907325672252,4686.0,21.33005598798307,1473.0,6.6696853067693,291.0,1.3138290667750236,20.84220058863482
Massachusetts,Dukes,20579,21109,20868,652,3945,3795,7164,4.2,25.4,24.4,46.1,1601.0,79.43536146407043,5.668068866819897,2.164014050912876,1.6826401838761436,0.3469361203868338,2.68,64.7697871961762,3587.0,17.188997508146446,1408.0,6.6701406982803535,159.0,0.7726322950580689,7.584442654791795
Idaho,Bonner,47402,49617,51414,2812,10541,12129,9228,8.1,30.4,34.9,26.6,5761.0,91.37913831294526,0.5208437269262238,3.1589870487517717,1.1314880964259344,0.3013310450799225,2.4,9.51459656421995,8941.0,17.390205002528493,3310.0,6.671100630832175,706.0,1.4893886333909963,11.610939798859262
Colorado,Elbert,26207,27133,27799,677,4341,6982,6546,3.7,23.4,37.6,35.3,1447.0,87.78545249506625,1.1136171412461235,2.932055257964477,1.691570341133352,0.2607837609247251,2.77,5.24903393675943,4880.0,17.55458829454297,1811.0,6.674529171120039,361.0,1.3774945625214636,5.3329893487634985
Oregon,Klamath,69547,70255,70212,5618,15812,16664,10204,11.6,32.7,34.5,21.1,13193.0,79.6235998958062,1.5212294868455327,7.740296952331336,2.0356863766605886,0.527481114873665,2.38,4.30818293883641,14285.0,20.345524981484647,4691.0,6.67710483239627,503.0,0.7232519015917294,18.778734609636324
Virginia,Bath,4186,4087,4049,495,1260,958,621,14.8,37.8,28.7,18.6,449.0,91.11060845962452,4.139334992083239,2.035738520696675,0.972630626555078,0.158335218276408,2.11,3.20510468976521,906.0,22.375895282785873,273.0,6.6797161732322,34.0,0.8122312470138557,10.986053339858087
Utah,Piute,1433,1482,1487,136,426,442,255,10.8,33.8,35.1,20.3,219.0,89.61121733588273,0.5736137667304015,2.48565965583174,0.3824091778202677,0.5098789037603569,3.74,0.969279410445654,304.0,20.443846671149966,99.0,6.680161943319838,37.0,2.5819958129797627,14.777327935222672
Nevada,Mineral,4557,4615,4525,368,1257,1202,451,11.2,38.3,36.7,13.8,791.0,66.35926222935045,5.032076984763433,18.865276663993587,3.127506014434643,0.942261427425822,2.26,0.457621869471935,1267.0,28.000000000000004,309.0,6.695557963163597,30.0,0.6583278472679395,17.1397616468039
Texas,Mitchell,9014,9050,8943,946,2307,1547,529,17.8,43.3,29.0,9.9,1447.0,62.95135025791443,10.842520481440276,2.144229796702741,0.7181146960655406,0.1517143724082128,2.58,3.62671541451339,1864.0,20.843117522084313,606.0,6.696132596685082,249.0,2.7623696472154426,15.988950276243093
Ohio,Vinton,12804,12707,12565,1790,3914,2172,1185,19.8,43.2,24.0,13.1,2436.0,95.73520531400966,0.9359903381642511,2.121074879227053,0.2868357487922705,0.0377415458937198,2.55,12.27625097666,2918.0,23.22323915638679,851.0,6.697096088769968,171.0,1.3355201499531395,19.170535925080664
Virginia,Northampton,12208,12039,11900,1285,2874,2379,2553,14.1,31.6,26.2,28.1,2089.0,59.262665746915,30.5510845405074,1.5942362228864873,1.1113665976852916,0.1532919445083161,2.26,21.8080862330068,2183.0,18.34453781512605,807.0,6.703214552703712,328.0,2.686762778505898,17.351939529861284
California,Sacramento,1586465,1588106,1584169,127455,235075,363694,341705,11.9,22.0,34.1,32.0,203413.0,49.544952336057854,10.855764312505803,3.2624980839375457,18.47897330918133,1.7492070660537464,2.77,603.890619071814,314407.0,19.846809273505542,106472.0,6.704338375398115,29836.0,1.8806592014321148,12.808527894233759
Wyoming,Niobrara,2452,2414,2380,151,661,712,405,7.8,34.3,36.9,21.0,341.0,92.08909370199692,0.8448540706605223,2.5345622119815667,1.4592933947772655,0.5760368663594471,2.19,0.359926920279315,694.0,29.15966386554622,162.0,6.7108533554266785,50.0,2.039151712887439,14.125932062966031
Michigan,Grand Traverse,95411,96013,96464,3305,15170,23598,26253,4.8,22.2,34.5,38.4,8330.0,91.02664693555276,1.2484233317111444,2.939803549614151,1.4162702235641145,0.187710429350363,2.4,76.2876267904394,17858.0,18.51260573892851,6449.0,6.716798766833658,1232.0,1.2912557252308434,8.675908470727922
Maryland,Montgomery,1060825,1055924,1052521,63938,95734,133591,435904,8.8,13.1,18.3,59.8,88627.0,47.315656069378726,18.686265518417176,1.6830690310259162,15.590560703865515,0.1712463949232456,2.79,814.474796216959,178052.0,16.916717101131475,70980.0,6.722074694769699,28426.0,2.6796125656917966,8.393312397483152
Nebraska,Keya Paha,759,787,787,29,187,230,172,4.7,30.3,37.2,27.8,152.0,95.1127819548872,0.7518796992481203,1.8796992481203008,0.12531328320802,0.3759398496240601,2.43,0.395553505926919,119.0,15.120711562897077,53.0,6.734434561626429,15.0,1.9762845849802373,19.3138500635324
Virginia,Fairfax,1148558,1141645,1138331,51874,96148,137108,496667,6.6,12.3,17.5,63.5,79572.0,53.4696614146832,10.110688965868317,1.5561949814380254,20.91496877366807,0.2307830794253858,2.88,1129.20580464924,188156.0,16.529111479877116,77004.0,6.745003919782419,26140.0,2.275897255515176,6.969942495259033
New York,Madison,67927,67397,67097,3371,16439,14515,12216,7.2,35.3,31.2,26.2,6594.0,90.4623594646803,2.484817321455869,2.4014341898633904,1.4522562085690065,0.0958906013313506,2.54,42.0726108242752,14319.0,21.34074548787576,4546.0,6.745107348991795,696.0,1.0246293815419494,9.783818270842916
New Mexico,Sierra,11563,11498,11436,958,3246,3132,1810,10.5,35.5,34.2,19.8,3001.0,78.18904863872744,1.093606607525237,4.718568369531967,1.2924441725298257,0.1147139798103395,2.02,1.0282338731565,2048.0,17.908359566281916,777.0,6.757696990781005,178.0,1.539392891118222,26.100191337623933
Nebraska,Hayes,853,841,849,42,192,284,120,6.6,30.1,44.5,18.8,118.0,87.69063180827887,0.9803921568627452,2.0697167755991286,1.7429193899782136,0.7625272331154684,2.28,0.510607003899133,96.0,11.307420494699647,57.0,6.777645659928656,29.0,3.399765533411489,14.030915576694412
Pennsylvania,Cameron,4531,4461,4418,269,1846,1059,377,7.6,52.0,29.8,10.6,588.0,93.42604298356513,0.8428150021070375,1.5592077538980194,0.9060261272650654,0.2739148756847872,2.06,4.56621290223154,822.0,18.605703938433678,303.0,6.7921990585070615,16.0,0.35312293092032665,13.180901143241424
Nevada,Humboldt,17276,17591,17272,1579,3877,3615,2207,14.0,34.4,32.1,19.6,1856.0,72.16526711658338,1.329143269280305,6.017206738447272,1.550667147493689,0.4069857297408686,2.66,0.676985020197229,2508.0,14.520611394163966,1199.0,6.815985447103633,214.0,1.2387126649687428,10.55084986640896
Michigan,Antrim,23459,23884,24249,1214,5486,5660,5295,6.9,31.1,32.1,30.0,2412.0,93.50226096875382,0.5173748319550251,2.766122133050882,0.5581130076995152,0.1303621623823685,2.34,18.8125146896422,4470.0,18.43374984535445,1630.0,6.824652487020599,253.0,1.0784773434502748,10.098810919443979
West Virginia,Clay,8007,7895,7814,1119,2918,904,673,19.9,52.0,16.1,12.0,1745.0,94.93399928647878,0.5351409204423832,3.115709359020097,0.4875728386252824,0.2259483886312284,2.67,9.91963513592397,2351.0,30.087023291528027,539.0,6.827105763141228,94.0,1.1739727738229049,22.102596580113996
Virginia,King William,17916,18205,18492,896,4002,4170,3010,7.4,33.1,34.5,24.9,1280.0,76.77303084914662,15.663097635958868,3.482455210431464,1.420544895579349,0.2438248701367539,2.66,23.2525250322446,3767.0,20.37097123080251,1243.0,6.827794561933535,247.0,1.3786559499888367,7.031035429826971
Maryland,Worcester,52511,53370,53866,2875,11941,12852,12200,7.2,30.0,32.2,30.6,5379.0,80.22582513028374,12.756948465547191,1.5543572669368848,1.9271134916039372,0.0651418645049218,2.34,42.5143221771827,8826.0,16.385103776036832,3648.0,6.835300730747611,1321.0,2.5156633848146104,10.078695896571107
California,Shasta,181984,181981,180930,11492,33218,54858,29041,8.9,25.8,42.7,22.6,25141.0,79.67317205227278,1.9732729554795363,6.461250707552975,4.200034454753525,0.5276499397041813,2.49,18.3146641718097,36988.0,20.44326535124081,12445.0,6.83862601040768,2980.0,1.6375065939862845,13.815178507646403
Virginia,Rockbridge,22645,22639,22593,1838,6033,4338,4790,10.8,35.5,25.5,28.2,2254.0,90.45754935387464,3.3926842614808264,2.5971292671633623,1.161762848844551,0.1220692848423622,2.48,14.5685729447282,3300.0,14.606293984862567,1549.0,6.842175007730024,192.0,0.8478692868182822,9.956270153275321
Colorado,Costilla,3501,3595,3603,342,762,865,634,13.1,29.3,33.2,24.4,835.0,61.25907990314769,1.8710103455866167,4.226282192383887,2.1131410961919435,0.4182258419546555,2.19,1.15963368911054,708.0,19.65029142381349,246.0,6.8428372739916545,56.0,1.5995429877177951,23.226703755215578
Kentucky,Meade,30030,30132,30001,2208,8187,6668,3581,10.7,39.7,32.3,17.3,4421.0,87.79712763637497,4.554659023645597,2.7103648088725505,1.4174896414218512,0.4454967444468675,2.64,35.808290151124,5821.0,19.402686577114096,2062.0,6.843223151466879,615.0,2.047952047952048,14.672109385371035
Montana,Ravalli,44409,46125,47298,2425,9763,11291,9305,7.4,29.8,34.4,28.4,4323.0,91.53400713690463,0.5577042244492404,3.091946409111306,1.1175452466933051,0.2051325883031688,2.43,6.76640377808936,7089.0,14.987948750475708,3164.0,6.859620596205962,744.0,1.6753360805242181,9.372357723577236
Pennsylvania,Susquehanna,38334,38363,38074,2738,13365,7161,5615,9.5,46.3,24.8,19.4,4561.0,93.76228019996518,0.8108040888402517,1.83550128087149,0.6988832790310145,0.1044594224886213,2.37,19.382566460591,8188.0,21.50548931029049,2634.0,6.865990668091651,478.0,1.2469348359158972,11.889059771133645
New Mexico,Santa Fe,155041,155404,155664,11417,25053,31329,47367,9.9,21.8,27.2,41.1,18790.0,64.20450366198367,1.2814315886809504,4.7857975979068375,1.8882595857807851,0.2006998224174346,2.36,30.1017089438977,29503.0,18.95300133621133,10680.0,6.872409976577179,3036.0,1.9581917041298753,12.09106586703045
Texas,Cass,28436,28557,28539,2619,8624,5324,3473,13.1,43.0,26.6,17.3,5136.0,76.17132983318933,16.418555193726327,3.010566890410048,0.6612613810061807,0.1860836047052568,2.52,12.3982855360491,7260.0,25.438873120992326,1963.0,6.873971355534544,675.0,2.373751582501055,17.985082466645654
Pennsylvania,Warren,38516,38115,37808,1965,13193,7834,5566,6.9,46.2,27.4,19.5,4613.0,94.31959120900927,0.8880289725653618,1.773577417274396,0.7838468025995933,0.099221114253113,2.3,17.4832329507541,7506.0,19.852941176470587,2622.0,6.87918142463597,99.0,0.2570360369716482,12.102846648301194
Florida,Charlotte,188013,194934,202661,12677,51705,51683,37650,8.2,33.6,33.6,24.5,20910.0,84.63725749405116,5.84358896332916,1.585860450266638,1.8173292294184848,0.1521508138821405,2.28,100.3107252744,36528.0,18.02418817631414,13413.0,6.880790421373388,4206.0,2.2370793508959483,10.72670750100034
Virginia,Dickenson,14074,13852,13725,2112,4245,3093,1097,20.0,40.2,29.3,10.4,2929.0,96.94704049844238,0.7407407407407408,1.22533748701973,0.297680858428522,0.166147455867082,2.48,17.4794814635643,3321.0,24.19672131147541,954.0,6.887092116661854,199.0,1.4139548102884754,21.144961016459717
Alaska,Denali,1614,1594,1585,27,504,472,653,1.6,30.4,28.5,39.4,115.0,85.07882882882883,1.1261261261261262,7.713963963963964,2.815315315315315,0.8445945945945946,2.29,0.0681951983542993,424.0,26.750788643533124,110.0,6.900878293601004,37.0,2.292441140024783,7.214554579673776
Idaho,Boundary,12137,12635,13345,963,3105,2809,1343,11.7,37.8,34.2,16.3,1506.0,89.03907403091742,0.745746912141692,3.5189932416686087,1.3594344752582923,0.3262642740619902,2.48,3.51474434109841,2107.0,15.788684900711877,872.0,6.901464186782746,286.0,2.3564307489494936,11.919271863870202
Virginia,Amelia,13268,13337,13455,1395,4213,2286,1697,14.5,43.9,23.8,17.7,1307.0,74.33342889908256,19.93979357798165,2.0140481651376145,0.9102637614678898,0.0430045871559633,2.66,13.9695599701853,2683.0,19.940542549238202,921.0,6.9056009597360735,154.0,1.1606873681037082,9.799805053610257
Virginia,Fluvanna,27285,27797,28159,1301,4623,6805,7244,6.5,23.1,34.1,36.3,2027.0,77.82086479066575,15.013726835964311,1.787920384351407,1.50308853809197,0.1681537405628002,2.55,35.3428255558143,5260.0,18.679640612237648,1921.0,6.910817714141813,457.0,1.67491295583654,7.29215382954995
Idaho,Valley,11842,12264,12464,850,2246,3245,2653,9.5,25.0,36.1,29.5,1015.0,90.31508057403992,0.4970736791469575,2.6537320612523048,0.905956866832358,0.2485368395734787,2.95,1.09569475023583,2642.0,21.19704749679076,848.0,6.914546640574038,188.0,1.5875696672859314,8.276255707762557
Michigan,Emmet,34104,34280,34163,1146,6260,8235,9172,4.6,25.2,33.2,37.0,2914.0,89.90339237132862,0.9716284492809948,6.182333018710788,0.8578091166509356,0.1693409583032591,2.24,27.2853645387632,6608.0,19.34256359219038,2371.0,6.91656942823804,692.0,2.029087497067793,8.500583430571762
Montana,Broadwater,6857,7323,7793,336,1257,2030,1115,7.1,26.5,42.8,23.5,620.0,91.8533886583679,0.8298755186721992,3.55463347164592,0.5809128630705395,0.1521438450899032,2.39,1.88912889975451,1283.0,16.46349287822405,507.0,6.923392052437525,129.0,1.881289193524865,8.466475488187902
Missouri,Dent,14389,14428,14467,1659,4246,2766,1602,16.1,41.3,26.9,15.6,2343.0,92.29260639341048,1.0263450349741778,3.8046675818788,0.6602601817349807,0.1961168856638556,2.43,7.95223252719366,3263.0,22.554779843782402,1000.0,6.930967563071805,350.0,2.4324136493154493,16.239257000277238
Alaska,Yukon-Koyukuk Census Area,5296,5280,5179,448,1471,1111,449,12.9,42.3,31.9,12.9,1240.0,24.27422175585869,0.7170339279468345,72.15809723679608,0.8744316194473591,0.4022385449457852,2.68,0.0143620751775343,1438.0,27.765977988028578,366.0,6.931818181818182,132.0,2.492447129909366,23.484848484848484
Texas,Jack,8486,8718,8922,1063,2212,1656,855,18.4,38.2,28.6,14.8,1233.0,79.52652345462516,3.8360368259535296,2.64138535729943,0.789127575624726,0.1534414730381411,2.43,3.7476848562361,1523.0,17.070163640439365,605.0,6.939665060793761,187.0,2.2036295074239924,14.143152099105299
Florida,Brevard,608713,617742,630693,33648,118401,154084,141951,7.5,26.4,34.4,31.7,68879.0,75.17765348486743,10.690480870606317,2.056491723402608,3.5223935717136343,0.2522590137178868,2.49,219.376463402181,135740.0,21.522357153163266,42963.0,6.954845226648018,13312.0,2.1869091016620312,11.150124161866929
New York,Rensselaer,160900,160740,159853,8773,31059,34829,39039,7.7,27.3,30.6,34.3,19087.0,79.2436791379964,9.719940725764763,2.131460144969157,4.06591386856283,0.0896005881474504,2.38,94.346143197678,33850.0,21.175705179133328,11192.0,6.962797063580937,1278.0,0.7942821628340584,11.874455642652732
Montana,Golden Valley,821,818,835,53,234,220,121,8.4,37.3,35.0,19.3,134.0,86.62983425414365,2.6519337016574585,3.977900552486188,0.3314917127071823,0.8839779005524863,2.15,0.238021613661119,150.0,17.964071856287426,57.0,6.968215158924205,19.0,2.3142509135200973,16.381418092909534
Virginia,Westmoreland,18508,18732,18712,2284,5457,3713,2269,16.6,39.8,27.1,16.5,2812.0,65.84553255931348,25.265017667844525,2.392730943967693,1.2771327612317012,0.1615345784957092,2.3,29.6960617174877,3284.0,17.5502351432236,1306.0,6.9720264787529365,376.0,2.031553922628053,15.011744608157166
Washington,Kittitas,44626,44688,45189,2073,6832,8691,9610,7.6,25.1,31.9,35.3,6195.0,82.909045715351,1.6591751765851237,3.368063467075419,3.378420365805663,0.6027715061002134,2.35,7.53364258474797,8607.0,19.04667064993693,3121.0,6.983977801646975,792.0,1.7747501456549994,13.862781954887218
Michigan,Benzie,17997,18236,18297,953,3932,4236,4453,7.0,29.0,31.2,32.8,1673.0,92.92275019909742,1.0193788160339792,2.734271303424476,0.7008229360233608,0.0690204406689673,2.56,21.1976980043916,3514.0,19.20533420779363,1274.0,6.986181180083352,217.0,1.205756514974718,9.174161000219346
North Carolina,Clay,11142,11350,11614,939,2111,3098,2271,11.2,25.1,36.8,27.0,1548.0,91.35434412265758,1.2180579216354344,2.913117546848381,0.8091993185689949,0.1703577512776831,2.13,19.4197421979206,2634.0,22.67952471155502,795.0,7.004405286343612,258.0,2.3155627355950457,13.63876651982379
Wyoming,Lincoln,19657,20170,20660,839,4224,4891,2965,6.5,32.7,37.9,23.0,1522.0,91.84409257003654,0.4579780755176614,1.943970767356882,0.9354445797807552,0.3118148599269184,2.67,1.80112431796184,3979.0,19.2594385285576,1413.0,7.00545364402578,474.0,2.4113547336826575,7.545860188398612
Maryland,Caroline,33273,33413,33433,3434,8928,6020,4310,15.1,39.3,26.5,19.0,4449.0,74.25153064090321,14.503173622423189,2.1569398415997303,1.5896197270123011,0.1769364713812279,2.68,39.7352872991748,6159.0,18.421918463793258,2341.0,7.006255050429473,798.0,2.398340997204941,13.315176727620987
New York,Greene,47912,48493,48061,4359,13319,9193,9253,12.1,36.9,25.4,25.6,5354.0,84.73077071962219,6.205241357953006,2.1638988890179225,1.565826655827817,0.137421128014555,2.59,28.4087164523863,9055.0,18.840640019974618,3398.0,7.007196915018662,578.0,1.2063783603272666,11.040768770750416
Virginia,Mathews,8520,8545,8490,474,1869,2170,1924,7.4,29.0,33.7,29.9,776.0,85.35963648453951,8.489415937049761,2.6487864346669623,1.196941150393439,0.2105729801618087,2.22,39.532767097606,1524.0,17.95053003533569,599.0,7.009947337624342,145.0,1.7018779342723005,9.081334113516675
