"GEO_ID","NAME","P6_001N","P6_001NA","P6_002N","P6_002NA","P6_003N","P6_003NA","P6_004N","P6_004NA","P6_005N","P6_005NA","P6_006N","P6_006NA","P6_007N","P6_007NA",
"0500000US02122","Kenai Peninsula Borough, Alaska","65184","null","52135","null","856","null","7858","null","1578","null","454","null","2303","null",
"0500000US02130","Ketchikan Gateway Borough, Alaska","15798","null","10012","null","255","null","3441","null","1438","null","105","null","547","null",
"0500000US02150","Kodiak Island Borough, Alaska","14531","null","7758","null","197","null","2517","null","3094","null","206","null","759","null",
"0500000US02158","Kusilvak Census Area, Alaska","8591","null","321","null","54","null","8111","null","46","null","24","null","35","null",
"0500000US02164","Lake and Peninsula Borough, Alaska","1672","null","428","null","27","null","1133","null","37","null","19","null","28","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","120340","null","94737","null","2475","null","14052","null","3463","null","1201","null","4412","null",
"0500000US02180","Nome Census Area, Alaska","10989","null","2193","null","117","null","8295","null","220","null","37","null","127","null",
"0500000US02185","North Slope Borough, Alaska","12087","null","3858","null","251","null","6372","null","776","null","455","null","375","null",
"0500000US02188","Northwest Arctic Borough, Alaska","8313","null","1090","null","134","null","6868","null","113","null","36","null","72","null",
"0500000US02195","Petersburg Borough, Alaska","3918","null","2870","null","92","null","483","null","209","null","58","null","206","null",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","6497","null","2981","null","86","null","3149","null","102","null","71","null","108","null",
"0500000US02220","Sitka City and Borough, Alaska","9754","null","6259","null","115","null","2062","null","799","null","67","null","452","null",
"0500000US02230","Skagway Municipality, Alaska","1333","null","1138","null","23","null","72","null","60","null","10","null","30","null",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","7457","null","5630","null","127","null","1133","null","187","null","75","null","305","null",
"0500000US02275","Wrangell City and Borough, Alaska","2538","null","1673","null","27","null","650","null","71","null","31","null","86","null",
"0500000US02282","Yakutat City and Borough, Alaska","808","null","355","null","13","null","347","null","60","null","14","null","19","null",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","5718","null","1388","null","41","null","4126","null","50","null","23","null","90","null",
"0500000US04001","Apache County, Arizona","68647","null","16915","null","466","null","48178","null","476","null","140","null","2472","null",
"0500000US04003","Cochise County, Arizona","148296","null","102511","null","6933","null","4572","null","4460","null","961","null","28859","null",
"0500000US04005","Coconino County, Arizona","159031","null","95520","null","3458","null","39927","null","4464","null","692","null","14970","null",
"0500000US04007","Gila County, Arizona","58102","null","40312","null","561","null","10095","null","732","null","184","null","6218","null",
"0500000US04009","Graham County, Arizona","42859","null","29032","null","796","null","6057","null","373","null","127","null","6474","null",
"0500000US04011","Greenlee County, Arizona","11255","null","8114","null","191","null","612","null","131","null","47","null","2160","null",
"0500000US04012","La Paz County, Arizona","18759","null","11709","null","228","null","3475","null","217","null","98","null","3032","null",
"0500000US04013","Maricopa County, Arizona","5054452","null","3214275","null","335335","null","176798","null","267593","null","24096","null","1036355","null",
"0500000US04015","Mohave County, Arizona","234720","null","189292","null","3942","null","10615","null","4625","null","1068","null","25178","null",
"0500000US04017","Navajo County, Arizona","113394","null","54206","null","1437","null","50017","null","958","null","283","null","6493","null",
"0500000US04019","Pima County, Arizona","1226810","null","800548","null","55022","null","55844","null","46009","null","4621","null","264766","null",
"0500000US04021","Pinal County, Arizona","483355","null","320754","null","28700","null","30089","null","11763","null","3233","null","88816","null",
"0500000US04023","Santa Cruz County, Arizona","64956","null","32729","null","341","null","892","null","474","null","71","null","30449","null",
"0500000US04025","Yavapai County, Arizona","259578","null","214126","null","3175","null","9840","null","4817","null","894","null","26726","null",
"0500000US04027","Yuma County, Arizona","256978","null","140995","null","5809","null","6549","null","4040","null","697","null","98888","null",
"0500000US05001","Arkansas County, Arkansas","17961","null","12381","null","4423","null","387","null","148","null","28","null","594","null",
"0500000US05003","Ashley County, Arkansas","19818","null","13612","null","4890","null","350","null","60","null","14","null","892","null",
"0500000US05005","Baxter County, Arkansas","43933","null","40667","null","275","null","1535","null","386","null","51","null","1019","null",
"0500000US05007","Benton County, Arkansas","317165","null","231610","null","7553","null","16729","null","16379","null","3166","null","41728","null",
"0500000US05009","Boone County, Arkansas","39791","null","36425","null","271","null","1736","null","393","null","40","null","926","null",
"0500000US05011","Bradley County, Arkansas","11013","null","6309","null","3091","null","186","null","49","null","12","null","1366","null",
"0500000US05013","Calhoun County, Arkansas","4952","null","3729","null","977","null","106","null","23","null","11","null","106","null",
"0500000US05015","Carroll County, Arkansas","30724","null","24251","null","259","null","1333","null","677","null","483","null","3721","null",
"0500000US05017","Chicot County, Arkansas","10575","null","4229","null","5544","null","177","null","64","null","22","null","539","null",
"0500000US05019","Clark County, Arkansas","22630","null","15372","null","5500","null","528","null","231","null","38","null","961","null",
